2014,YR2014,IDA & IBRD total,IBT,28978306766045.3,6104461024
2014,YR2014,IDA blend,IDB,1278620145195.84,573991143
2014,YR2014,IDA only,IDX,976357340890.047,1031040810
2014,YR2014,IDA total,IDA,2265822106242.57,1605031953
2014,YR2014,India,IND,2042438591343.98,1295291543
2014,YR2014,Indonesia,IDN,890487074595.966,254454778
2014,YR2014,"Iran, Islamic Rep.",IRN,425326068422.881,78143644
2014,YR2014,Iraq,IRQ,223508094682.676,35273293
2014,YR2014,Ireland,IRL,250813607686.108,4617225
2014,YR2014,Isle of Man,IMY,..,87127
2014,YR2014,Israel,ISR,305674837195.003,8215700
2014,YR2014,Italy,ITA,2138540909211.12,60789140
2014,YR2014,Jamaica,JAM,13927110141.57,2720554
2014,YR2014,Japan,JPN,4596156556721.9,127131800
2014,YR2014,Jordan,JOR,35826925774.6479,7416083
2014,YR2014,Kazakhstan,KAZ,227437054841.268,17289224
2014,YR2014,Kenya,KEN,61395415492.333,44863583
2014,YR2014,Kiribati,KIR,166756805.48044,110470
2014,YR2014,"Korea, Dem. People’s Rep.",PRK,..,25026772
2014,YR2014,"Korea, Rep.",KOR,1411333926201.24,50423955
2014,YR2014,Kosovo,KSV,7384901154.30543,1812771
2014,YR2014,Kuwait,KWT,163612438510.19,3753121
2014,YR2014,Kyrgyz Republic,KGZ,7468096566.71158,5835500
2014,YR2014,Lao PDR,LAO,11715619755.8584,6689300
2014,YR2014,Late-demographic dividend,LTE,19496143978060.7,2235786397
2014,YR2014,Latvia,LVA,31286809075.2289,1993782
2014,YR2014,Least developed countries: UN classification,LDC,924688533355.498,931955068
2014,YR2014,Lebanon,LBN,45730945273.6318,5612096
2014,YR2014,Lesotho,LSO,2181300505.8649,2109197
2014,YR2014,Liberia,LBR,2013000000,4396554
2014,YR2014,Libya,LBY,41142722414.3351,6258984
2014,YR2014,Liechtenstein,LIE,..,37286
2014,YR2014,Lithuania,LTU,48353937110.2561,2932367
2014,YR2014,Low & middle income,LMY,28142020800788.7,6080182833
2014,YR2014,Low income,LIC,406539140685.159,621322015
2014,YR2014,Lower middle income,LMC,5864307408776.99,2885248344
2014,YR2014,Luxembourg,LUX,64873963098.4868,556319
2014,YR2014,"Macao SAR, China",MAC,55522993326.7394,577914
2014,YR2014,"Macedonia, FYR",MKD,11318966946.687,2075625
2014,YR2014,Madagascar,MDG,11011062173.0257,23571713
2014,YR2014,Malawi,MWI,6047813437.31804,16695253
2014,YR2014,Malaysia,MYS,338103822298.268,29901997
2014,YR2014,Maldives,MDV,3063899508.46532,401000
2014,YR2014,Mali,MLI,14388384092.5594,17086022
