Athens	1896	Aquatics	Swimming	HAJOS, Alfred	HUN	Men	100m freestyle	M	Gold
Athens	1896	Aquatics	Swimming	HERSCHMANN, Otto	AUT	Men	100m freestyle	M	Silver
Athens	1896	Aquatics	Swimming	DRIVAS, Dimitrios	GRC	Men	100m freestyle for sailors	M	Bronze
Athens	1896	Aquatics	Swimming	MALOKINIS, Ioannis	GRC	Men	100m freestyle for sailors	M	Gold
Athens	1896	Aquatics	Swimming	CHASAPIS, Spiridon	GRC	Men	100m freestyle for sailors	M	Silver
Athens	1896	Aquatics	Swimming	CHOROPHAS, Efstathios	GRC	Men	1200m freestyle	M	Bronze
Athens	1896	Aquatics	Swimming	HAJOS, Alfred	HUN	Men	1200m freestyle	M	Gold
Athens	1896	Aquatics	Swimming	ANDREOU, Joannis	GRC	Men	1200m freestyle	M	Silver
Athens	1896	Aquatics	Swimming	CHOROPHAS, Efstathios	GRC	Men	400m freestyle	M	Bronze
Athens	1896	Aquatics	Swimming	NEUMANN, Paul	AUT	Men	400m freestyle	M	Gold
Athens	1896	Aquatics	Swimming	PEPANOS, Antonios	GRC	Men	400m freestyle	M	Silver
Athens	1896	Athletics	Athletics	LANE, Francis	USA	Men	100m	M	Bronze
Athens	1896	Athletics	Athletics	SZOKOLYI, Alajos	HUN	Men	100m	M	Bronze
Athens	1896	Athletics	Athletics	BURKE, Thomas	USA	Men	100m	M	Gold
Athens	1896	Athletics	Athletics	HOFMANN, Fritz	DEU	Men	100m	M	Silver
Athens	1896	Athletics	Athletics	CURTIS, Thomas	USA	Men	110m hurdles	M	Gold
Athens	1896	Athletics	Athletics	GOULDING, Grantley	GBR	Men	110m hurdles	M	Silver
Athens	1896	Athletics	Athletics	LERMUSIAUX, Albin	FRA	Men	1500m	M	Bronze
Athens	1896	Athletics	Athletics	FLACK, Edwin	AUS	Men	1500m	M	Gold
Athens	1896	Athletics	Athletics	BLAKE, Arthur	USA	Men	1500m	M	Silver
Athens	1896	Athletics	Athletics	GMELIN, Charles	GBR	Men	400m	M	Bronze
Athens	1896	Athletics	Athletics	BURKE, Thomas	USA	Men	400m	M	Gold
Athens	1896	Athletics	Athletics	JAMISON, Herbert	USA	Men	400m	M	Silver
Athens	1896	Athletics	Athletics	GOLEMIS, Dimitrios	GRC	Men	800m	M	Bronze
Athens	1896	Athletics	Athletics	FLACK, Edwin	AUS	Men	800m	M	Gold
Athens	1896	Athletics	Athletics	DANI, Nandor	HUN	Men	800m	M	Silver
Athens	1896	Athletics	Athletics	VERSIS, Sotirios	GRC	Men	discus throw	M	Bronze
Athens	1896	Athletics	Athletics	GARRETT, Robert	USA	Men	discus throw	M	Gold
Athens	1896	Athletics	Athletics	CLARK, Ellery	USA	Men	high jump	M	Gold
Athens	1896	Athletics	Athletics	CONNOLLY, James	USA	Men	high jump	M	Silver
Athens	1896	Athletics	Athletics	GARRETT, Robert	USA	Men	high jump	M	Silver
Athens	1896	Athletics	Athletics	CONNOLLY, James	USA	Men	long jump	M	Bronze
Athens	1896	Athletics	Athletics	CLARK, Ellery	USA	Men	long jump	M	Gold
Athens	1896	Athletics	Athletics	GARRETT, Robert	USA	Men	long jump	M	Silver
Athens	1896	Athletics	Athletics	KELLNER, Gyula	HUN	Men	marathon	M	Bronze
Athens	1896	Athletics	Athletics	LOUIS, Spyridon	GRC	Men	marathon	M	Gold
Athens	1896	Athletics	Athletics	VASILAKOS, Kharilaos	GRC	Men	marathon	M	Silver
Athens	1896	Athletics	Athletics	DAMASKOS, Evangelos	GRC	Men	pole vault	M	Bronze
Athens	1896	Athletics	Athletics	THEODOROPOULOS, Ioannis	GRC	Men	pole vault	M	Bronze
Athens	1896	Athletics	Athletics	HOYT, William Welles	USA	Men	pole vault	M	Gold
Athens	1896	Athletics	Athletics	TYLER, Albert	USA	Men	pole vault	M	Silver
